序号,基金,停牌股占比,股票占比,停牌股在股票中占比
5846,http://fund.eastmoney.com/270028.html,1.02,91.44999999999997,1.1032990805840999
5847,http://fund.eastmoney.com/270029.html,0,7.049999999999999,0
5848,http://fund.eastmoney.com/270030.html,0,7.049999999999999,0
5850,http://fund.eastmoney.com/270041.html,8.069999999999999,79.17000000000004,10.066109517275782
5851,http://fund.eastmoney.com/270042.html,0,89.73000000000002,0
5859,http://fund.eastmoney.com/270050.html,0.02,76.70000000000003,0.02574002574002573
5860,http://fund.eastmoney.com/288001.html,0,73.74000000000001,0
5861,http://fund.eastmoney.com/288002.html,6.459999999999999,85.36999999999992,7.479448882713911
5863,http://fund.eastmoney.com/288102.html,0,3.59,0
5866,http://fund.eastmoney.com/290002.html,0,68.02,0
5868,http://fund.eastmoney.com/290004.html,6.54,75.75000000000001,8.52117263843648
5869,http://fund.eastmoney.com/290005.html,6.6000000000000005,71.70000000000006,9.078404401650612
5870,http://fund.eastmoney.com/290006.html,15.86,93.89000000000007,16.714089998946136
5867,http://fund.eastmoney.com/290003.html,0.71,1.3299999999999998,30.472103004291846
5871,http://fund.eastmoney.com/290007.html,0,1.08,0
5872,http://fund.eastmoney.com/290008.html,0,80.49000000000001,0
5873,http://fund.eastmoney.com/290009.html,0,0.41,0
5874,http://fund.eastmoney.com/290010.html,4.3500000000000005,94.37000000000003,4.561182761874802
5876,http://fund.eastmoney.com/290012.html,0.41000000000000003,55.18,0.7297970808116767
5877,http://fund.eastmoney.com/290014.html,0,63.75,0
5875,http://fund.eastmoney.com/290011.html,0,79.64999999999999,0
5878,http://fund.eastmoney.com/291007.html,0,1.08,0
5879,http://fund.eastmoney.com/310308.html,3,74.25,3.9867109634551494
5880,http://fund.eastmoney.com/310318.html,2.62,93.83000000000018,2.762838764104181
5881,http://fund.eastmoney.com/310328.html,3.0199999999999996,71.03000000000006,4.192697487158124
5884,http://fund.eastmoney.com/310358.html,1.94,82.99000000000001,2.3097987855697104
5885,http://fund.eastmoney.com/310368.html,2.95,92.13,3.1676151616020616
5886,http://fund.eastmoney.com/310378.html,0,0.08,0
5887,http://fund.eastmoney.com/310379.html,0,0.08,0
5889,http://fund.eastmoney.com/310398.html,0.55,90.52000000000005,0.6009615384615382
5890,http://fund.eastmoney.com/310508.html,0,8.99,0
5891,http://fund.eastmoney.com/310518.html,0,4.52,0
5895,http://fund.eastmoney.com/320004.html,0,0.6799999999999999,0
5888,http://fund.eastmoney.com/310388.html,0,92.21000000000002,0
5896,http://fund.eastmoney.com/320005.html,5.95,83.78,7.018164661476764
5897,http://fund.eastmoney.com/320006.html,0,78.12,0
5899,http://fund.eastmoney.com/320008.html,0,15.030000000000001,0
5900,http://fund.eastmoney.com/320009.html,0,15.030000000000001,0
5901,http://fund.eastmoney.com/320010.html,1.72,92.94000000000011,1.830955929316583
5902,http://fund.eastmoney.com/320011.html,0,70.7600000000001,0
5903,http://fund.eastmoney.com/320012.html,0,87.01000000000005,0
5898,http://fund.eastmoney.com/320007.html,2.51,91.09000000000023,2.725594527093054
5905,http://fund.eastmoney.com/320014.html,0.28,0.32000000000000006,21.212121212121215
5906,http://fund.eastmoney.com/320015.html,0,0,0
5907,http://fund.eastmoney.com/320016.html,0,90.97000000000001,0
5908,http://fund.eastmoney.com/320017.html,0,72.15,0
5909,http://fund.eastmoney.com/320018.html,0.12,72.79,0.16262366174278356
5911,http://fund.eastmoney.com/320020.html,0,1.04,0
5912,http://fund.eastmoney.com/320021.html,0,10.91,0
5913,http://fund.eastmoney.com/320022.html,3.1999999999999997,82.18000000000002,3.8470786246693907
5914,http://fund.eastmoney.com/340001.html,0,24.81000000000001,0
5916,http://fund.eastmoney.com/340006.html,0,93.17999999999999,0
5918,http://fund.eastmoney.com/340008.html,0,73.72,0
5917,http://fund.eastmoney.com/340007.html,0,90.96000000000005,0
5919,http://fund.eastmoney.com/340009.html,0,0.01,0
5920,http://fund.eastmoney.com/350001.html,0,66.92999999999998,0
5921,http://fund.eastmoney.com/350002.html,0,85.64,0
5924,http://fund.eastmoney.com/350006.html,2.43,12.059999999999997,18.606431852986223
5923,http://fund.eastmoney.com/350005.html,1.98,78.54999999999998,2.489000628535513
5925,http://fund.eastmoney.com/350007.html,0,44.35,0
5926,http://fund.eastmoney.com/350008.html,0,87.76000000000003,0
5927,http://fund.eastmoney.com/350009.html,0,16.68,0
5931,http://fund.eastmoney.com/360006.html,1.08,88.55000000000008,1.2060301507537676
5930,http://fund.eastmoney.com/360005.html,2.42,85.02999999999997,2.8129722189933752
5932,http://fund.eastmoney.com/360007.html,0,86.31999999999998,0
5933,http://fund.eastmoney.com/360008.html,0,4.27,0
5934,http://fund.eastmoney.com/360009.html,0,4.27,0
5935,http://fund.eastmoney.com/360010.html,3.86,87.16000000000003,4.378402903811251
5936,http://fund.eastmoney.com/360011.html,2.06,78.78000000000002,2.5821007771371267
5938,http://fund.eastmoney.com/360013.html,0,9.570000000000002,0
5939,http://fund.eastmoney.com/360014.html,0,9.570000000000002,0
5940,http://fund.eastmoney.com/360016.html,15.620000000000001,92.61000000000001,16.686251468860164
5937,http://fund.eastmoney.com/360012.html,2.72,89.86000000000004,2.9936165529385854
5945,http://fund.eastmoney.com/370021.html,0,0.54,0
5946,http://fund.eastmoney.com/370022.html,0,0.54,0
5947,http://fund.eastmoney.com/370023.html,3.52,93.63,3.7197506076297158
5949,http://fund.eastmoney.com/370025.html,0,7.05,0
5950,http://fund.eastmoney.com/370026.html,0,7.05,0
5948,http://fund.eastmoney.com/370024.html,2.48,91.79000000000003,2.6727017997629043
5951,http://fund.eastmoney.com/370027.html,1.46,89.85000000000002,1.6070445789763341
5954,http://fund.eastmoney.com/372010.html,0.33,7.3500000000000005,3.9520958083832327
5955,http://fund.eastmoney.com/372110.html,0.33,7.3500000000000005,3.9520958083832327
5956,http://fund.eastmoney.com/373010.html,2.46,60.980000000000004,3.9690222652468536
5957,http://fund.eastmoney.com/373020.html,0,63.69000000000002,0
5958,http://fund.eastmoney.com/375010.html,1.51,91.88000000000004,1.6257536606373808
5959,http://fund.eastmoney.com/376510.html,4.42,89.89000000000003,4.863021234459235
5960,http://fund.eastmoney.com/377010.html,2.3,66.7,3.3973412112259966
5962,http://fund.eastmoney.com/377020.html,0,93.03000000000003,0
5961,http://fund.eastmoney.com/377016.html,0,65.60999999999999,0
5963,http://fund.eastmoney.com/377150.html,0.1,93.88000000000002,0.10539629005059019
5964,http://fund.eastmoney.com/377240.html,0,92.17,0
5965,http://fund.eastmoney.com/377530.html,2.69,93.33000000000003,2.851690872468991
5966,http://fund.eastmoney.com/378006.html,0,90.95,0
5967,http://fund.eastmoney.com/378010.html,0,72.87000000000002,0
5968,http://fund.eastmoney.com/378546.html,0,50.339999999999996,0
5969,http://fund.eastmoney.com/379010.html,1.3,90.49,1.4209203191605642
5976,http://fund.eastmoney.com/380009.html,0,7.44,0
5981,http://fund.eastmoney.com/393001.html,3.09,67.13000000000004,4.5354469396741495
5982,http://fund.eastmoney.com/395001.html,0,1.04,0
5983,http://fund.eastmoney.com/395011.html,0,10.410000000000004,0
5984,http://fund.eastmoney.com/395012.html,0,10.410000000000004,0
5985,http://fund.eastmoney.com/398001.html,0,87.83999999999996,0
5987,http://fund.eastmoney.com/398011.html,0.18,88.94000000000001,0.20013342228152098
5989,http://fund.eastmoney.com/398021.html,0,87.18999999999998,0
5992,http://fund.eastmoney.com/398051.html,0.01,69.33999999999999,0.014216661927779359
5994,http://fund.eastmoney.com/399001.html,1.94,93.86000000000004,2.0451191229179835
5990,http://fund.eastmoney.com/398031.html,0.47,78.34000000000002,0.5923871943534156
5995,http://fund.eastmoney.com/399011.html,0,94.20999999999998,0
5991,http://fund.eastmoney.com/398041.html,0,93.75000000000004,0
5996,http://fund.eastmoney.com/400001.html,12.559999999999999,85.00000000000003,14.60465116279069
5997,http://fund.eastmoney.com/400003.html,12.36,84.35999999999999,14.479850046860358
6001,http://fund.eastmoney.com/400007.html,0,83.25000000000004,0
6003,http://fund.eastmoney.com/400009.html,0,0.18,0
6004,http://fund.eastmoney.com/400011.html,10.58,84.74,12.339631443900164
6006,http://fund.eastmoney.com/400013.html,0,12.719999999999999,0
6007,http://fund.eastmoney.com/400015.html,2.48,77.39,3.1636688353106264
6008,http://fund.eastmoney.com/400016.html,0,0,0
6009,http://fund.eastmoney.com/400018.html,0.48,70.14999999999996,0.6746310611384403
6010,http://fund.eastmoney.com/400020.html,0,9.150000000000002,0
6013,http://fund.eastmoney.com/400025.html,1.3,68.27000000000004,1.876714306337519
6014,http://fund.eastmoney.com/400027.html,1.46,3.79,30.48016701461378
6012,http://fund.eastmoney.com/400023.html,0.42,28.880000000000003,1.4056224899598393
6011,http://fund.eastmoney.com/400022.html,0.9,19.560000000000002,4.3774319066147855
6015,http://fund.eastmoney.com/400029.html,1.46,3.79,30.48016701461378
6017,http://fund.eastmoney.com/400032.html,0,83.44000000000004,0
6018,http://fund.eastmoney.com/410001.html,5.24,75.40000000000026,6.858638743455474
6021,http://fund.eastmoney.com/410004.html,1.72,7.6000000000000005,19.999999999999996
6020,http://fund.eastmoney.com/410003.html,3.81,88.67000000000013,4.248912679826023
6022,http://fund.eastmoney.com/410005.html,1.72,7.6000000000000005,19.999999999999996
6023,http://fund.eastmoney.com/410006.html,1.99,59.910000000000004,3.267115416187818
6024,http://fund.eastmoney.com/410007.html,4.01,78.72000000000007,5.030105368790763
6025,http://fund.eastmoney.com/410008.html,2.02,92.28000000000004,2.165523156089193
6026,http://fund.eastmoney.com/410009.html,3.9200000000000004,82.4,4.700239808153477
6027,http://fund.eastmoney.com/410010.html,4.53,85.64,5.228531855955679
6028,http://fund.eastmoney.com/420001.html,0,63.88999999999999,0
6029,http://fund.eastmoney.com/420002.html,0,3.1799999999999997,0
6030,http://fund.eastmoney.com/420003.html,0.14,94.29000000000006,0.14691992863889172
6031,http://fund.eastmoney.com/420005.html,0,79.55000000000001,0
6033,http://fund.eastmoney.com/420008.html,3.08,4.7700000000000005,53.37954939341421
6034,http://fund.eastmoney.com/420009.html,0,2.31,0
6035,http://fund.eastmoney.com/420102.html,0,3.1799999999999997,0
6037,http://fund.eastmoney.com/420108.html,3.08,4.7700000000000005,53.37954939341421
6038,http://fund.eastmoney.com/450001.html,0.61,50.21999999999997,1.1909410386567754
6039,http://fund.eastmoney.com/450002.html,0.51,81.86,0.6154960173787111
6041,http://fund.eastmoney.com/450004.html,0,86.93000000000005,0
6042,http://fund.eastmoney.com/450005.html,0,11.9,0
6040,http://fund.eastmoney.com/450003.html,0,88.46000000000001,0
6043,http://fund.eastmoney.com/450006.html,0,11.9,0
6044,http://fund.eastmoney.com/450007.html,2.02,91.93999999999998,2.1734452334839687
6045,http://fund.eastmoney.com/450008.html,3.9599999999999995,94.01000000000002,4.167982317650772
6046,http://fund.eastmoney.com/450009.html,0,90.56,0
6047,http://fund.eastmoney.com/450010.html,2.11,76.25,2.7313915857605178
6048,http://fund.eastmoney.com/450011.html,0,90.25,0
6051,http://fund.eastmoney.com/457001.html,0,76.25000000000001,0
6054,http://fund.eastmoney.com/460003.html,1.02,7.449999999999999,12.071005917159765
6052,http://fund.eastmoney.com/460001.html,0.01,88.82000000000016,0.01113337786684478
6055,http://fund.eastmoney.com/460005.html,0.01,94.01000000000013,0.010525207872855474
6053,http://fund.eastmoney.com/460002.html,4.07,90.77,4.435000544840362
6057,http://fund.eastmoney.com/460007.html,0.29,94.85000000000002,0.30255607720396444
6060,http://fund.eastmoney.com/460010.html,0,70.44,0
6064,http://fund.eastmoney.com/460300.html,0.01,0.15,0.8695652173913044
6063,http://fund.eastmoney.com/460220.html,0.03,1.0300000000000007,1.4778325123152705
6067,http://fund.eastmoney.com/470008.html,2.61,92.05,2.804943578721118
6065,http://fund.eastmoney.com/470006.html,1.05,88.17000000000006,1.177526073791633
6069,http://fund.eastmoney.com/470010.html,0,13.79,0
6068,http://fund.eastmoney.com/470009.html,0.54,80.23000000000002,0.6647790225286223
6072,http://fund.eastmoney.com/470018.html,0,11.89,0
6070,http://fund.eastmoney.com/470011.html,0,13.79,0
6073,http://fund.eastmoney.com/470021.html,0.45,70.77999999999997,0.6269155753691839
6074,http://fund.eastmoney.com/470028.html,0.45,93.66000000000005,0.47538559053454443
6076,http://fund.eastmoney.com/470058.html,0,18.609999999999992,0
6077,http://fund.eastmoney.com/470059.html,0,18.609999999999992,0
6079,http://fund.eastmoney.com/470068.html,0.01,0.5600000000000002,0.641025641025641
6080,http://fund.eastmoney.com/470078.html,0,0.85,0
6081,http://fund.eastmoney.com/470088.html,0,15.850000000000001,0
6083,http://fund.eastmoney.com/470098.html,0,77.66,0
6084,http://fund.eastmoney.com/470888.html,0,NaN,NaN
6090,http://fund.eastmoney.com/481001.html,0.42,87.62000000000003,0.47393364928909937
6091,http://fund.eastmoney.com/481004.html,4.84,98.15,4.881492687846697
6092,http://fund.eastmoney.com/481006.html,1.4100000000000001,84.4,1.651053864168618
6093,http://fund.eastmoney.com/481008.html,1.71,73.98000000000005,2.280608162176579
6095,http://fund.eastmoney.com/481010.html,4.550000000000001,94.18000000000006,4.780416053792811
6096,http://fund.eastmoney.com/481012.html,0,0.09,0
6097,http://fund.eastmoney.com/481013.html,0,61.08999999999999,0
6098,http://fund.eastmoney.com/481015.html,2.1,85.76999999999998,2.420191310360724
6101,http://fund.eastmoney.com/483003.html,0,75.01,0
6102,http://fund.eastmoney.com/485005.html,0,0.75,0
6103,http://fund.eastmoney.com/485007.html,0,18.93,0
6104,http://fund.eastmoney.com/485011.html,0,3.37,0
6105,http://fund.eastmoney.com/485014.html,0,19.779999999999998,0
6110,http://fund.eastmoney.com/485105.html,0,0.75,0
6111,http://fund.eastmoney.com/485107.html,0,18.93,0
6112,http://fund.eastmoney.com/485111.html,0,3.37,0
6113,http://fund.eastmoney.com/485114.html,0,19.779999999999998,0
6119,http://fund.eastmoney.com/486001.html,0,NaN,NaN
6120,http://fund.eastmoney.com/486002.html,0,72.15,0
6122,http://fund.eastmoney.com/487021.html,1.69,85.53000000000003,1.9530798566970986
6121,http://fund.eastmoney.com/487016.html,0,6.76,0
6124,http://fund.eastmoney.com/501001.html,4.73,84.95999999999998,5.502559329920896
6125,http://fund.eastmoney.com/501002.html,5.369999999999999,94.44,5.626571668063704
6126,http://fund.eastmoney.com/501003.html,0,36.56000000000001,0
6127,http://fund.eastmoney.com/501005.html,4.1899999999999995,93.69,4.424965677473861
6128,http://fund.eastmoney.com/501006.html,4.1899999999999995,93.69,4.424965677473861
6129,http://fund.eastmoney.com/501007.html,5.47,94.19000000000001,5.746401932976152
6130,http://fund.eastmoney.com/501008.html,5.47,94.19000000000001,5.746401932976152
6131,http://fund.eastmoney.com/501009.html,4.38,95.14000000000003,4.5558560432702295
6132,http://fund.eastmoney.com/501010.html,4.38,95.14000000000003,4.5558560432702295
6133,http://fund.eastmoney.com/501011.html,2.19,94.50999999999995,2.2929536174222607
6134,http://fund.eastmoney.com/501012.html,2.19,94.50999999999995,2.2929536174222607
6136,http://fund.eastmoney.com/501016.html,0,68.21000000000001,0
6137,http://fund.eastmoney.com/501017.html,0,56.129999999999995,0
6139,http://fund.eastmoney.com/501019.html,18.169999999999998,94.89000000000003,18.948795494837828
6140,http://fund.eastmoney.com/501020.html,2.08,93.13,2.209709975565707
6141,http://fund.eastmoney.com/501021.html,0,95.33999999999996,0
6142,http://fund.eastmoney.com/501022.html,0,51.44,0
6143,http://fund.eastmoney.com/501023.html,0,93.74000000000002,0
6144,http://fund.eastmoney.com/501025.html,0,92.21000000000001,0
6145,http://fund.eastmoney.com/501026.html,0.7500000000000001,80.9299999999999,0.9154155986818029
6146,http://fund.eastmoney.com/501027.html,0,17.99000000000001,0
6147,http://fund.eastmoney.com/501028.html,0.6100000000000001,77.45999999999987,0.7774662248279393
6148,http://fund.eastmoney.com/501029.html,1.58,94.18000000000002,1.660012607690691
6149,http://fund.eastmoney.com/501030.html,16.75,94.28000000000002,17.57976490344248
6150,http://fund.eastmoney.com/501031.html,16.75,94.28000000000002,17.57976490344248
6151,http://fund.eastmoney.com/501032.html,0,42.78,0
6152,http://fund.eastmoney.com/501033.html,0,9.24,0
6164,http://fund.eastmoney.com/501050.html,2.4299999999999997,92.79,2.590894551657959
6171,http://fund.eastmoney.com/501301.html,0,95.16999999999997,0
6177,http://fund.eastmoney.com/502003.html,16.29,94.31000000000003,17.091595845136915
6179,http://fund.eastmoney.com/502005.html,16.29,94.31000000000003,17.091595845136915
6180,http://fund.eastmoney.com/502006.html,2.13,94.74999999999997,2.2245430809399482
6181,http://fund.eastmoney.com/502007.html,2.13,94.74999999999997,2.2245430809399482
6178,http://fund.eastmoney.com/502004.html,16.29,94.31000000000003,17.091595845136915
6182,http://fund.eastmoney.com/502008.html,2.13,94.74999999999997,2.2245430809399482
6183,http://fund.eastmoney.com/502010.html,0,94.38000000000004,0
6184,http://fund.eastmoney.com/502011.html,0,94.38000000000004,0
6185,http://fund.eastmoney.com/502012.html,0,94.38000000000004,0
6186,http://fund.eastmoney.com/502013.html,6.1,94.23000000000002,6.4055444712800576
6187,http://fund.eastmoney.com/502014.html,6.1,94.23000000000002,6.4055444712800576
6188,http://fund.eastmoney.com/502015.html,6.1,94.23000000000002,6.4055444712800576
